Issuer,"Certificate",Workload (h),Conclusion,File,"Keywords"
Alura,"Dart: Lidando com erros, exceções e null safety",10,2025-11-12, 20251112-Dart-lidando-com-erros-excecoes-null-safety.pdf,"Dart, Errors, Exceptions, Null Safety"
Alura,"Dart: Dominando assincronismo e criando comunicação com APIs",10,2025-10-20,20251020-Dart-dominando-assincronismo-comunicacao-com-apis.pdf,"Dart, Asynchronous, API"
Atos Corporate University,"Prevenção ao Assédio",1,2025-10-14,20251014-prevencao-assedio.pdf,"harassment"
Alura,"Dart: Trabalhando com orientação a objetos",8,2025-10-13, 20251003-Dart-trabalhando-com-orientacao-a-objetos.pdf,"Dart, Object Oriented"
Impacta,"n8n Fundamentos",5,2025-10-10,20251010-n8n-fundamentos.pdf,"n8n, automation, workflow, low-code"
Atos Corporate University,"Code of Ethics 2025",1,2025-10-07,20251007-code-of-ethics-2025.pdf,"ethics, code of ethics"
Atos Corporate University,"Atos Cybersecurity and Safety Awareness 2025",1,2025-10-07,20251007-atos-cybersecurity-and-safety-awareness-2025.pdf,"cybersecurity, safety, awareness"
Atos Corporate University,"New Data Protection Training 2025 (including GDPR)",1,2025-10-07,20251007-New-Data-Protection-Training-2025.pdf,"data protection, GDPR, LGPD"
Atos Corporate University,"Environmental Program & EMS 2025",1,2025-10-07,20251007-Environmental-Program-EMS-2025.pdf,"environment, sustainability, climate change"
FM2S,"Metodologias Ágeis na Prática",12,2025-10-07,20251007-Metodologias-ageis-na-pratica.pdf,"Agile, Scrum, Kanban, SAFe, Extreme Programming"
Alura,Dart: Trabalhando com a sintaxe e configuração de projeto,8,2025-10-01,20251001-Dart-trabalhando-com-sintaxe-e-config-projeto.pdf,"Dart, syntax, project configuration"
Alura,"Git e Github: Compartilhando e colaborando em projetos",8,2025-09-29,20250929-Git-Github-colaborando-projetos.pdf,"git, github"
Escola Conquer,"Carisma: O segredo para conquistar e influenciar pessoas",10,2025-09-22,20250922-carisma.pdf,"charisma, influence, softskill"
Grupo Voitto,Fundamentos Excel e Copilot com IA,8,2025-09-19,20250919-fundamentos-excel-e-copilot-com-ia.pdf,"Excel, Copilot, AI, Artificial Intelligence"
Hora de Codar,"Introdução ao n8n em 1 hora",2,2025-09-17,20250917-introducao-ao-n8n-em-1-hora.pdf,"n8n, automation, workflow, low-code"
Rocketseat,"PowerBI com IA",3,2025-09-13,20250913-PowerBi-com-IA.pdf,"PowerBI, Data Analysis, AI"
STATUM,"Curso básico de Apia 3",1,2025-06-30,20250630-Apia.pdf,"Apia, BPM, Business Process Management, Process Optimization"
MAPA,"Observação Meteorológica 2025",20,2025-06-30,20250630-Observacao_Meteorologica-2025.pdf,"observation, meteorological"
SENAR,"Implantação e Utilização da Palma Forrageira",20,2025-06-25,20250625-Implantacao-e-utilizacao-da-palma-forrageira.pdf,"agriculture, forage palm"
